,"('PS pilot (base)', 'Use and biowaste')","('PS pilot (base)', 'Use and incineration')","('PS pilot (cellulose)', 'Use and biowaste')","('PS pilot (cellulose)', 'Use and incineration')","('PS pilot (mannitol)', 'Use and biowaste')","('PS pilot (mannitol)', 'Use and incineration')","('PS pilot (PLA5)', 'Use and biowaste')","('PS pilot (PLA5)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and biowaste')","('PS pilot (mannitol) nbu', 'Use and incineration')","('PS pilot (mannitol) nbu', 'Use and biowaste')","('PS pilot (PLA5) nbu', 'Use and incineration')","('PS pilot (PLA5) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and incineration')"
21,0.7169091735514526,1.8554181725408365,1.9653405277786251,3.569506934226664,-0.18492571340885178,1.1359689796881183,1.3728290926290074,2.7428408975405167,1.9925865382937775,1.0576029612315694,2.6297490455024075,3.7835866687570943,4.406014934946178,3.00629746638004,5.503815882509267,4.3491357550326715,2.5109444414829474,1.2769184319766032,2.5464659065595407,4.348682343241652
22,4.05539752918956,5.5857704007677915,3.057423483491486,4.532480792691253,2.694307479451927,4.184854149554293,8.495800405842294,9.602077808129861,3.6626400932458965,2.977069418414744,2.9341207650467984,4.363329067529286,3.5189534030942604,1.8765657670211096,7.655628863172317,6.478750764974269,4.6183336241848885,3.207101634666122,9.455924686627668,11.168151504930055
23,9.245871576305836,10.67557653255262,5.154465040895709,6.807340330080503,3.9666159575445294,5.247518686962155,4.3531037947636015,5.625612539329504,7.670175931962842,6.216376480356567,3.2277648838647965,5.0239304512002425,16.153411520827408,14.786500866396556,3.0951512895415028,1.9947190737219824,3.9988306351903415,2.785691095602003,1.3884192213222517,2.6474889507011503
24,2.2932367856555893,3.7308185491372283,3.67216246334465,5.052802170603311,6.399379640653387,7.730159068275809,3.2385884466360366,4.488551756612488,2.8277108378002738,2.1622616152210297,2.8501708615708403,4.096150153529546,2.92022355870229,1.541834336917458,4.983902184240186,3.1611416872571465,3.1132105113391386,1.320678423765544,2.9431806033515433,4.0763992203059445
25,3.8937493115225092,5.098835771011321,2.432328062175333,3.7056019984324675,2.248232490395639,3.690554547691132,3.0856173283040773,4.506228194905134,3.086862570207024,1.572167911818287,3.3596341299313477,4.581899651229945,4.296171700075853,3.2654126434474375,4.941668673492302,3.706617550632008,5.621829773747555,4.083133792745224,1.3734456953984984,2.6782126672496163
26,4.511708066363087,5.8523834192203354,6.734869588362254,7.898021351741292,5.410963342662245,6.889464908846854,2.833965687535448,4.312315428683678,3.5611215178774125,2.3498166626137573,3.569422037270302,5.08016005683616,6.143569444419791,4.891379746090306,5.709793537966859,4.04662469463762,4.254825293284773,2.7796687109790494,2.404973662648423,3.865855840108631
27,4.487670476296789,5.491068146703089,3.4290691999158103,4.559790379950391,2.2372916188602816,3.3479263980154013,4.402396216628026,5.5647427457255665,3.2592505867142423,1.7215425166254636,2.249477995881436,3.8516910822512678,4.674385142232724,3.2227478930212565,6.4873717724183635,5.390745068575615,3.7358562049090116,2.322464854280719,1.6352108008218262,3.4977037654234544
28,0.6966206706753171,2.233893616636513,1.0279461163858494,2.499855504256167,1.8286680677273013,3.8389396857585734,1.525155809004234,3.6380515342796844,3.5775668892306594,2.84339692310729,1.376327798454319,2.9708149781575353,3.872492158376416,2.340118324112063,3.3207257670469037,2.0800071590797624,5.18409210336099,3.684417837407661,2.1126236012734334,3.74074830047954
29,1.3783111279627236,2.636270450719856,1.3101153985395095,2.73205760705741,3.1207076529997533,5.133555048819168,1.4288633260921295,2.874099557819891,3.344457821388615,1.8169812287320632,1.9076367408490655,3.3940311684925266,7.6312802538758255,6.1119515803483955,5.150603658726536,3.978475541451413,2.784203949973104,1.5314580071730977,2.4208774850955446,3.9229070889683824
30,5.22947690943089,6.333288572681832,1.2882447530174408,2.5259852465195616,3.3845875968178945,4.966284064820046,2.0903684771219346,3.1378443656616986,3.4359720005497403,2.2072038766932396,2.0294173991985724,3.460674433545844,7.298408389347678,5.867896711972859,2.8730207455109458,1.837317256003764,4.757289347715934,3.7306461537634323,2.5836388158279444,4.75449313596747
